Date,Type,English,Greek
04-22,Saint,Apostle Nathaniel,Ναθαναὴλ τοῦ ἀποστόλου
04-22,Saint,Theodore the Sykeot,Θεοδώρου τοῦ Συκεώτου
04-23,Saint,Great-martyr George,Γεωργίου μεγαλομάρτυρος
04-23,Saint,Martyrs Anatolios & Protoleon,Ἀνατολίου & Πρωτολέοντος τῶν μαρτύρων
04-24,Saint,Elizabeth the Wonder-worker,Ἐλισάβετ τῆς θαυματουργοῦ
04-24,Saint,"Thomas, fool-for-Christ of Syria",Θωμᾶ τοῦ διὰ Χριστὸν σαλοῦ
04-25,Saint,Apostle & Evangelist Mark,Μάρκου τοῦ ἀποστόλου & Εὐαγγελιστοῦ
04-25,Saint,"Macedonios, patriarch of Constantinople","Μακεδονίου, Πατρ. ΚΠόλεως"
04-26,Saint,"Hieromartyr Basil, bishop of Amasea","Βασιλέως ἱερομ., ἐπ. Ἀμασείας"
04-26,Saint,Glaphyra of Nicomedia,Γλαφύρας τῆς Νικομηδείας
04-27,Saint,"Hieromartyr Symeon, bishop of Jerusalem, Kinsman of the Lord","Συμεὼν ἱερομάρτυρος τοῦ ἀδελφοθέου, ἐπ. Ἱεροσολύμων"
04-28,Saint,Nine Martyrs of Cyzicos,Τῶν ἐν Κυζίκῳ 9 μαρτύρων
04-28,Saint,"Auxibios, bishop of Soli in Cyprus","Αὐξιβίου, ἐπ. Σόλων Κύπρου"
04-29,Saint,Apostles Jason and Sosipater of the 70,"Ἰάσωνος & Σωσιπάτρου, ἐκ τῶν 70 ἀποστόλων"
04-29,Saint,Metr. Basil of Ostrog,"Βασιλείου, μητροπ. Ὀστρόγκ"
04-30,Saint,"Apostle James, brother of St. John the Theologian","Ἰακώβου ἀποστόλου, ἀδελφοῦ Ἰωάννου τοῦ Θεολόγου"
05-01,Saint,Prophet Jeremiah,Ἱερεμίου τοῦ προφήτου
05-01,Saint,"Tamara, Queen of Georgia","Ταμάρας, βασιλίσσης Γεωργίας"
05-01,Saint,Ven. Isidora,Ἰσιδώρας ὁσίας
05-02,Saint,Translation of the relics of Athanasios the Great,Ἀνακομιδὴ τῶν λειψάνων Ἀθανασίου τοῦ Μεγάλου
05-02,Saint,Matrona of Moscow,Ματρώνης τῆς Μόσχας
05-03,Saint,Martyrs Timothy & Maura,Τιμοθέου & Μαύρας μαρτύρων
05-03,Saint,"Peter, bishop of Argos","Πέτρου, ἀρχιεπισκόπου Ἄργους"
05-04,Saint,Virgin-martyr Pelagia,Πελαγίας παρθενομάρτυρος
05-04,Saint,Ven. Nikiphoros of Medikion,"Νικηφόρου ὁσίου, τοῦ Μηδικίου"
05-05,Saint,Great Virgin-martyr Irene,Εἰρήνης μεγαλομάρτυρος
05-05,Saint,New Monk-martyr Ephraim of Nea Makri,Ἐφραίμ μεγαλομάρτυρος τοῦ νέου
05-06,Saint,Righteous Job the Much-Suffering,Ἰὼβ τοῦ δικαίου καὶ πολυάθλου
05-06,Saint,Ven. Seraphim of Mt. Dombos,Σεραφεὶμ ὁσίου τοῦ ἐν Δομβῷ
05-07,Saint,Commemoration of the apparition of the Sign of the Cross over Jerusalem,Ἀνάμνησις τοῦ ἐν τῷ οὐρανῷ τῆς Ἱερουσαλὴμ φανέντος σημείου τοῦ Τιμίου Σταυροῦ
05-08,Saint,Evangelist John the Theologian,Ἰωάννου τοῦ Θεολόγου & Εὐαγγελιστοῦ
05-08,Saint,Arsenios the Great,Ἀρσενίου τοῦ Μεγάλου
05-09,Saint,Prophet Isaiah,Ἡσαΐου τοῦ προφήτου
05-09,Saint,Great-martyr Christopher,Χριστοφόρου μεγαλομάρτυρος
05-10,Saint,Ap. Simon the Zealot,Σίμωνος ἀποστόλου τοῦ Ζηλωτοῦ
05-10,Saint,Ven. Laurence,Λαυρεντίου ὁσίου
05-11,Saint,Hieromartyr Mokios,Μωκίου ἱερομάρτυρος
05-11,Saint,"Cyril and Methodios, Apostles to the Slavs","Κυρίλλου & Μεθοδίου, φωτιστῶν τῶν Σλάβων"
05-12,Saint,"Epiphanios, bishop of Cyprus","Ἐπιφανίου, ἐπισκόπου Κύπρου"
05-12,Saint,"Germanos, patriarch of Constantinople","Γερμανοῦ, Πατρ. ΚΠόλεως"
05-13,Saint,Virgin-martyr Glykeria,Γλυκερίας παρθενομάρτυρος
05-13,Saint,Sergios the Confessor,Σεργίου τοῦ ὁμολογητοῦ
05-14,Saint,Hieromartyr Therapon,Θεράποντος ἱερομάρτυρος
05-14,Saint,Martyr Isidore of Chios,Ἰσιδώρου μάρτυρος τοῦ ἐν Χίῳ
05-15,Saint,Pachomios the Great,Παχωμίου τοῦ Μεγάλου
05-15,Saint,"Achillios, archbishop of Larissa","Ἀχιλλίου, ἀρχιεπ. Λαρίσης"
05-16,Saint,Theodore the Sanctified,Θεοδώρου τοῦ ἡγιασμένου
05-16,Saint,"Alexander, archbishop  of Jerusalem","Ἀλεξάνδρου, άρχιεπισκόπου Ἱεροσολύμων"
05-17,Saint,Apostles Andronicos & Junia of the 70,Ἀνδρονίκου & Ἰουνίας ἐκ τῶν 70 ἀποστόλων
05-18,Saint,Martyr Peter & his companions,Πέτρου & τῶν σὺν αὐτῷ μαρτύρων
05-18,Saint,Martyr Theodotos & his companions,Θεοδότου & τῶν σὺν αὐτῷ μαρτύρων
05-19,Saint,Hieromartyr Patrick of Prusa & his companions,Πατρικίου ἱερομάρτυρος Προύσης & τῶν σὺν αὐτῷ μαρτύρων
05-20,Saint,Martyr Thalelaeos & his companions,Θαλλελαίου μάρτυρος & τῶν σὺν αὐτῷ
05-20,Saint,Translation of relics of St. Nicholas the Wonderworker,Ἀνακομιδὴ τῶν λειψάνων τοῦ Ἁγ. Νικολάου τοῦ θαυματουργοῦ
05-21,Saint,"Great Sovereigns Constantine & Helen, Equals-to-the-Apostles",Κωνσταντίνου & Ἑλένης τῶν μεγάλων Βασιλέων & ἰσαποστόλων
05-22,Saint,Martyr Basiliscos,Βασιλίσκου μάρτυρος
05-22,Saint,Commemoration of the Fathers of the 2nd Ecumenical Council,Μνήμη τῶν Πατέρων τῆς Β΄ Οἰκουμενικῆς Συνόδου
