PaschaOffset,Date,Category,Type,English,Greek
,,,,Martyr Nikon & his 199 disciples,Νίκωνος ὁσιομάρτυρος & τῶν 199 μαθητῶν αὐτοῦ
,,,,,
,,,,Artemon of Seleucia,"Ἀρτέμονος, ἐπ. Σελευκείας"
,,,,Zacharias the Recluse,Ζαχαρίου τοῦ ἐγκλείστου
,,,,,
,,,,Annunciation of the Theotokos,Ὁ Εὐαγγελισμὸς τῆς Θεοτόκου
,,,,,
,,,,Synaxis of Archangel Gabriel,Ἡ σύναξις τοῦ Ἀρχαγγέλου Γαβριήλ
,,Movable,,Great Canon,Ὁ Μέγας Κανών
,,,,,
,,,,Martyr Matrona of Thessalonica,"Ματρώνης μάρτυρος, τῆς ἐν Θεσσαλονίκῃ"
,,,,,
,,Movable,,Akathist Hymn,Τοῦ Ἀκαθίστου Ὕμνου
,,,,Ven. Hilarion the New,Ἱλαρίωνος ὁσίου τοῦ νέου
,,,,Apostle Herodion,Ἡρωδίωνος ἀποστ. ἐκ τῶν 70
,,,,,
,,Movable,,5th Sunday of Lent–of St. Mary of Egypt,Ε΄ Νηστειῶν–Μαρίας τῆς Αἰγυπτίας
,,,,Hieromartyr Mark of Arethusa,"Μάρκου, ἱερομάρτ. Ἀρεθουσῶν"
,,,,Diadochos of Photiki,Διαδόχου Φωτικῆς
,,,,,
,,,,Ven. John of the Ladder,Ἰωάννου ὁσίου τῆς Κλίμακος
,,,,,
,,,,"Hypatios, bishop of Gangra","Ὑπατίου, ἐπισκόπου Γαγγρῶν"
,,,,Metropolitan Innocent of Moscow,"Ἰννοκεντίου, μητρ. Μόσχας"
,,,,,
April,2025-04-01,,,Mary of Egypt,Μαρίας ὁσίας τῆς Αἰγυπτίας
,2025-04-02,,,Barsanouphios of Optina,Βαρσανουφίου τῆς Ὄπτινα
,2025-04-03,,,,
,2025-04-04,,,Ven. Titus the Wonder-worker,Τίτου ὁσίου τοῦ θαυματουργοῦ
,2025-04-05,,,Virgin-martyr Theodora,Θεοδώρας παρθενομάρτυρος
,2025-04-06,,,,
,2025-04-07,,,Nikitas the Confessor,Νικήτα τοῦ ὁμολογητοῦ
,2025-04-08,,,Joseph the Hymnographer,Ἰωσήφ τοῦ ὑμνογράφου
,2025-04-09,,,,
,2025-04-10,Movable,,Lazarus Saturday,Τοῦ Λαζάρου
,2025-04-11,,,Ven. George of Maleo,Γεωργίου ὁσίου τοῦ ἐν Μαλεῷ
,2025-04-12,,,Ven. Zosimas,Ζωσιμᾶ ὁσίου
,2025-04-13,,,,
,2025-04-14,Movable,,Palm Sunday,Τῶν Βαΐων
,2025-04-15,,,Martyr Claudios & his companions,Κλαυδίου μάρτ. & τῶν σὺν αὐτῷ
,2025-04-16,,,Ven. Theodora of Thessalonica,"Θεοδώρας, ὁσίας τῆς Θεσσαλονίκης"
,2025-04-17,,,,
,2025-04-18,Movable,,Holy Monday,Μεγάλη Δευτέρα
,2025-04-19,Movable,,Righteous Joseph,Ἰωσὴφ τοῦ Παγκάλου
,2025-04-20,,,"Eutychios, patriarch of Constantinople","Εὐτυχίου, Πατριάρχου ΚΠόλεως"
,2025-04-21,,,Gregory of Sinai,Γρηγορίου τοῦ Σιναΐτου
,2025-04-22,,,,
,2025-04-23,Movable,,Holy Tuesday,Μεγάλη Τρίτη
,2025-04-24,Movable,,Ten Virgins,Τῶν Δέκα Παρθένων
,2025-04-25,,,Martyr Calliopios,Καλλιοπίου μάρτυρος
,2025-04-26,,,Patriarch Tikhon of Moscow,Τύχωνος Πατριάρχου Μόσχας
,2025-04-27,,,,
,2025-04-28,Movable,,Holy Wednesday,Μεγάλη Τετάρτη
,2025-04-29,Movable,,Anointing of the Lord,Τῆς ἀλειψάσης τὸν Κύριον
,2025-04-30,,,"Apostles Herodion, Agabos, Rufos, Asyncritos, Phlegon & Hermes of the 70","Ἡρωδίωνος, Ἀγάβου, Ρούφου, Ἀσυγκρίτου, Φλέγοντος & Ἑρμοῦ ἐκ τῶν 70 ἀπ."
,,,,,
,,Movable,,Holy Thursday,Μεγάλη Πέμπτη
,,Movable,,Mystical Supper,Ὁ Μυστικὸς Δεῖπνος
,,,,Martyr Eupsychios of Caesarea,Εὐψυχίου μάρτυρος
,,,,Martyr Vadim & 7 disciples,Βαδίμου ὁσιομάρτυρος & τῶν σὺν αὐτῷ ἑπτὰ μαθητῶν
,,,,,
,,Movable,,Holy Friday,Μεγάλη Παρασκευή
,,Movable,,Holy Passion,Τὰ Ἅγια Πάθη
